Number of Spheres: 1000
Domain Length (x,y,z):  1, 1, 1
Media porosity: 0.352096
log(r) Normal with mean -3.07625, variance 0.1
Mean coordination No. 11.06
0.0918781 0.259584 0.187431 0.0576205
0.722108 0.452376 0.367457 0.0396484
0.877423 0.0919907 0.0568191 0.0767109
0.833561 0.604562 0.925703 0.0893431
0.821447 0.0952335 0.22981 0.0400736
0.111734 0.181343 0.657513 0.0469697
0.412614 0.403802 0.177909 0.0277658
0.404258 0.781296 0.936801 0.0727693
0.0647584 0.449342 0.613958 0.0505502
0.512542 0.337742 0.220919 0.0422079
0.872747 0.298124 0.0319099 0.0463511
0.746437 0.73029 0.0842804 0.0387491
0.759154 0.217958 0.536109 0.0525886
0.298993 0.049935 0.779923 0.106948
0.487112 0.876947 0.55436 0.0386877
0.781645 0.0677272 0.146202 0.0565237
0.6307 0.663774 0.0462079 0.0369375
0.863034 0.976477 0.299754 0.0211734
0.159122 0.704147 0.404902 0.0451642
0.879344 0.313684 0.133083 0.0562242
0.943466 0.644403 0.799733 0.0403739
0.598247 0.208122 0.510417 0.0501301
0.619748 0.751723 0.448017 0.0430015
0.315421 0.474369 0.418226 0.0811373
0.185307 0.831185 0.962336 0.0356463
0.747828 0.895387 0.519338 0.0619696
0.995647 0.29936 0.0711492 0.040509
0.80482 0.589448 0.345485 0.036239
