Number of Spheres: 1000
Domain Length (x,y,z):  1, 1, 1
Media porosity: 0.36
log(r) Normal with mean -3.05133, variance 0.1
Mean coordination No. 10.842
0.215277 0.483186 0.0841052 0.0598823
0.321647 0.433053 0.0184285 0.0432458
0.628717 0.267947 0.859162 0.0403069
0.880322 0.102275 0.73674 0.0543513
0.489894 0.72223 0.844027 0.0414606
0.0490616 0.376976 0.0052329 0.0489633
0.981585 0.662417 0.893373 0.0538577
0.63192 0.543692 0.805418 0.0614536
0.942977 0.77873 0.65309 0.0363324
0.48048 0.182468 0.640374 0.0597018
0.0885417 0.334871 0.190093 0.0275028
0.270212 0.677142 0.84057 0.0382092
0.817932 0.891489 0.189298 0.0277388
0.960369 0.549058 0.189539 0.0282592
0.752799 0.746637 0.948565 0.0312299
0.829361 0.330232 0.573718 0.0280755
0.690812 0.613728 0.673529 0.050194
0.133258 0.0681131 0.0513821 0.0545683
0.824264 0.14142 0.103287 0.0669576
0.97786 0.227282 0.927703 0.0670973
0.41044 0.28802 0.936655 0.0435515
0.0962815 0.202816 0.97081 0.0367364
0.0311186 0.0267004 0.368243 0.0318684
0.315933 0.618121 0.0076314 0.0359607
0.922531 0.334685 0.267821 0.0318832
0.649159 0.65515 0.101366 0.065996
0.0251671 0.100559 0.392831 0.0462028
0.0583086 0.377609 0.418555 0.0261117
0.968614 0.0108695 0.537 0.0646068
0.243156 0.280361 0.504409 0.0409099
0.275969 0.415632 0.886522 0.0396231
0.208029 0.625128 0.351294 0.0377302
0.870981 0.77552 0.614412 0.0452427
0.321882 0.512066 0.988053 0.0356535
0.635154 0.809895 0.0288714 0.0445003
0.33067 0.0140496 0.987025 0.0699664
0.724412 0.279531 0.829101 0.0595264
0.857385 0.256992 0.202338 0.0888149
0.0393781 0.653334 0.71407 0.029222
0.982838 0.0639138 0.995928 0.0602668
0.55596 0.303895 0.547617 0.0581598
0.836586 0.451272 0.344464 0.0541158
0.203727 0.387056 0.808792 0.0567364
0.811678 0.833818 0.214146 0.0353676
0.0437743 0.0680742 0.47893 0.0462696
0.117946 0.516403 0.818611 0.0503903
0.95153 0.0939864 0.118432 0.0697018
0.0813942 0.282737 0.938276 0.0508274
0.496882 0.933434 0.856813 0.0300742
0.218879 0.422322 0.551131 0.0311942
0.179358 0.787741 0.386084 0.042761
0.211488 0.520725 0.552486 0.0499218
0.759018 0.182067 0.892955 0.0620228
0.817524 0.612608 0.929646 0.050682
0.397578 0.189035 0.71505 0.0520671
0.532696 0.492084 0.143648 0.0243282
0.888246 0.300024 0.0708478 0.0529378
0.707561 0.21134 0.350719 0.0387386
0.791972 0.363303 0.804091 0.0485587
0.710125 0.24107 0.169164 0.0629728
0.247468 0.721283 0.105154 0.0485164
0.0932483 0.208237 0.88821 0.0345372
0.439146 0.802363 0.275465 0.0624786
0.872381 0.667869 0.62505 0.039454
0.843111 0.925792 0.660424 0.0393071
0.556942 0.744738 0.944678 0.0477024
0.451299 0.284717 0.0108063 0.0411759
0.311644 0.862504 0.998449 0.0789281
0.629364 0.35174 0.433073 0.0217009
0.584248 0.678553 0.705615 0.0456084
0.320132 0.227859 0.546663 0.0343017
0.542437 0.516251 0.773471 0.0374449
0.789912 0.668844 0.114778 0.0403716
0.0652164 0.0123258 0.19554 0.0557648
0.713197 0.938445 0.303146 0.0388114
0.97123 0.759759 0.403476 0.0573524
0.309616 0.140439 0.740537 0.0516076
0.647409 0.402662 0.990114 0.0394962
0.194739 0.847191 0.00754552 0.0358023
0.484455 0.96631 0.721996 0.0481774
0.460473 0.108128 0.685169 0.029367
0.211977 0.798324 0.616953 0.0573853
0.528593 0.254077 0.380473 0.0479682
0.00062532 0.675028 0.234913 0.0575667
0.226835 0.281901 0.281977 0.0768421
0.520636 0.412925 0.266062 0.056183
0.824448 0.625272 0.857948 0.0208526
0.970385 0.903614 0.12533 0.104675
0.84425 0.642441 0.00412317 0.0333669
0.766139 0.96083 0.546075 0.0288481
0.187077 0.568746 0.0960003 0.0306131
0.439042 0.130425 0.516179 0.0437688
0.426035 0.274868 0.434455 0.0675301
0.574348 0.134944 0.918641 0.0813618
0.120342 0.754486 0.859503 0.0562943
0.0790884 0.961647 0.319893 0.035582
0.85553 0.90245 0.0349937 0.0414542
0.769655 0.406884 0.326176 0.0273765
0.332496 0.68003 0.044289 0.0358803
0.720448 0.339462 0.724645 0.060966
0.687361 0.104401 0.869271 0.0390248
0.056983 0.0325552 0.293686 0.0431802
0.148968 0.990783 0.586681 0.0529591
0.664709 0.175832 0.266195 0.0624614
0.844916 0.0812224 0.940941 0.0459212
0.821268 0.994691 0.574354 0.0417597
0.493959 0.172321 0.194762 0.0418119
0.642528 0.266994 0.415064 0.0659318
0.061894 0.292024 0.825173 0.0643192
0.451559 0.49499 0.156805 0.030988
0.902434 0.805225 0.753623 0.052173
0.049423 0.591167 0.391 0.0584633
0.614567 0.580146 0.991887 0.0711459
0.916881 0.604808 0.941667 0.0385656
0.231013 0.170344 0.42303 0.0296466
0.829373 0.243091 0.999204 0.0558747
0.850793 0.701857 0.135157 0.0318201
0.517351 0.187215 0.469257 0.0637438
0.583642 0.333751 0.184102 0.0358081
0.182222 0.720008 0.0179451 0.0604056
0.323634 0.353945 0.426611 0.0359798
0.640324 0.297843 0.215207 0.0380936
0.303831 0.791777 0.224287 0.0499694
0.762681 0.894578 0.96229 0.0346343
0.820822 0.157727 0.750085 0.0260367
0.425294 0.130146 0.590127 0.0314465
0.56256 0.203853 0.576844 0.0462731
0.862313 0.548412 0.105929 0.0391684
0.547252 0.239107 0.971468 0.0385333
0.574667 0.291647 0.0474206 0.057804
0.808578 0.868479 0.369331 0.0522472
